#Table 1.2. Recommended values of the dielectric constant, density and thermal expansion coefficient of liquid 4He at saturated vapor pressure.
#https://ui.adsabs.harvard.edu/abs/1998JPCRD..27.1217D/abstract
#T_90 (K),epsilon,rho (g/cm^3),10^3 alpha (k^-1)
0,1.057255,1.45E-01,0
0.1,1.057255,1.45E-01,0.001
#0.15,1.057255,4.51E-02,10.004
0.2,1.057255,1.45E-01,0.011
0.25,1.057255,1.45E-01,0.018
0.3,1.057255,1.45E-01,0.028
0.35,1.057255,1.45E-01,0.042
0.4,1.057255,1.45E-01,0.058
0.45,1.057254,1.45E-01,0.08
0.5,1.057254,1.45E-01,0.107
0.55,1.057254,1.45E-01,0.139
0.6,1.057253,1.45E-01,0.175
0.65,1.057253,1.45E-01,0.214
0.7,1.057252,1.45E-01,0.254
0.75,1.057251,1.45E-01,0.292
0.8,1.05725,1.45E-01,0.325
0.85,1.057249,1.45E-01,0.348
0.9,1.057248,1.45E-01,0.357
0.95,1.057247,1.45E-01,0.345
1,1.057246,1.45E-01,0.309
1.05,1.057246,1.45E-01,0.242
1.1,1.057245,1.45E-01,0.138
1.15,1.057245,1.45E-01,-0.008
1.2,1.057245,1.45E-01,-0.2
1.25,1.057246,1.45E-01,-0.442
1.3,1.057248,1.45E-01,-0.737
1.35,1.05725,1.45E-01,-1.08
1.4,1.057254,1.45E-01,-1.45
1.45,1.057259,1.45E-01,-1.87
1.5,1.057265,1.45E-01,-2.36
1.55,1.057273,1.45E-01,-2.91
1.6,1.057282,1.45E-01,-3.53
1.65,1.057293,1.45E-01,-4.23
1.7,1.057307,1.45E-01,-4.99
1.75,1.057323,1.45E-01,-5.84
1.8,1.057341,1.45E-01,-6.79
1.85,1.057362,1.45E-01,-7.86
1.9,1.057387,1.45E-01,-9.07
1.95,1.057416,1.46E-01,-10.5
2,1.057449,1.46E-01,-12.2
2.05,1.057488,1.46E-01,-14.4
2.1,1.057534,1.46E-01,-17.7
2.15,1.057594,1.46E-01,-24.7
2.2,1.057643,1.46E-01,9.64
2.25,1.057596,1.46E-01,20.7
2.3,1.057526,1.46E-01,26.4
2.35,1.057443,1.46E-01,30.5
2.4,1.057349,1.45E-01,33.8
2.45,1.057246,1.45E-01,36.7
2.5,1.057135,1.45E-01,39.4
2.55,1.057017,1.45E-01,41.8
2.6,1.056892,1.44E-01,44.1
2.65,1.056761,1.44E-01,46.3
2.7,1.056625,1.44E-01,48.4
2.75,1.056482,1.43E-01,50.6
2.8,1.056334,1.43E-01,52.7
2.85,1.05618,1.42E-01,54.8
2.9,1.05602,1.42E-01,57
2.95,1.055854,1.42E-01,59.2
3,1.055683,1.41E-01,61.5
3.05,1.055505,1.41E-01,63.9
3.1,1.055322,1.40E-01,66.3
3.15,1.055132,1.40E-01,68.7
3.2,1.054936,1.39E-01,71.3
3.25,1.054733,1.39E-01,74
3.3,1.054523,1.38E-01,76.7
3.35,1.054307,1.38E-01,79.5
3.4,1.054084,1.37E-01,82.5
3.45,1.053853,1.37E-01,85.5
3.5,1.053615,1.36E-01,88.7
3.55,1.053369,1.35E-01,92
3.6,1.053115,1.35E-01,95.3
3.65,1.052853,1.34E-01,98.9
3.7,1.052583,1.34E-01,103
3.75,1.052305,1.33E-01,106
3.8,1.052017,1.32E-01,110
3.85,1.05172,1.31E-01,115
3.9,1.051414,1.31E-01,119
3.95,1.051097,1.30E-01,124
4,1.05077,1.29E-01,129
4.05,1.050432,1.28E-01,134
4.1,1.050082,1.27E-01,140
4.15,1.049719,1.26E-01,146
4.2,1.049343,1.25E-01,153
4.25,1.048952,1.24E-01,160
4.3,1.048545,1.23E-01,168
4.35,1.048121,1.22E-01,177
4.4,1.047677,1.21E-01,187
4.45,1.047213,1.20E-01,198
4.5,1.046725,1.19E-01,211
4.55,1.046211,1.18E-01,225
4.6,1.045669,1.16E-01,241
4.65,1.045095,1.15E-01,258
4.7,1.044485,1.13E-01,279
4.75,1.043836,1.12E-01,301
4.8,1.043143,1.10E-01,328
4.85,1.0424,1.08E-01,358
4.9,1.041602,1.06E-01,392
